product,day,usd_volume,av 
DPI,2020-09-10T00:00:00+00:00,3287.660421,3287.660421
DPI,2020-09-11T00:00:00+00:00,778.4492915,2033.054856
DPI,2020-09-12T00:00:00+00:00,8899.635433,4321.915048
DPI,2020-09-13T00:00:00+00:00,3360.628276,4081.593355
DPI,2020-09-14T00:00:00+00:00,1.54E+06,311406.8432
DPI,2020-09-15T00:00:00+00:00,1.78E+06,555552.2047
DPI,2020-09-16T00:00:00+00:00,837571.986,595840.7449
DPI,2020-09-17T00:00:00+00:00,135463.3421,538293.5695
DPI,2020-09-18T00:00:00+00:00,234048.4206,567138.6646
DPI,2020-09-19T00:00:00+00:00,252971.501,598662.796
DPI,2020-09-20T00:00:00+00:00,163629.6714,618004.0505
DPI,2020-09-21T00:00:00+00:00,234617.8144,646911.1988
DPI,2020-09-22T00:00:00+00:00,204933.7255,479939.4341
DPI,2020-09-23T00:00:00+00:00,235559.7607,287349.5277
DPI,2020-09-24T00:00:00+00:00,99108.59544,195041.6039
DPI,2020-09-25T00:00:00+00:00,206655.7525,203940.6552
DPI,2020-09-26T00:00:00+00:00,137744.0891,191902.6137
DPI,2020-09-27T00:00:00+00:00,159687.2357,180242.0806
DPI,2020-09-28T00:00:00+00:00,237455.5323,189470.3132
DPI,2020-09-29T00:00:00+00:00,120167.2652,175163.9946
DPI,2020-09-30T00:00:00+00:00,73927.14096,158788.1715
DPI,2020-10-01T00:00:00+00:00,85933.60301,140084.9018
DPI,2020-10-02T00:00:00+00:00,307764.7891,166166.926
DPI,2020-10-03T00:00:00+00:00,63358.24987,148254.7382
DPI,2020-10-04T00:00:00+00:00,147029.3024,149415.3898
DPI,2020-10-05T00:00:00+00:00,95865.31147,141437.6493
DPI,2020-10-06T00:00:00+00:00,777910.6259,208994.536
DPI,2020-10-07T00:00:00+00:00,4.68E+06,779029.5292
DPI,2020-10-08T00:00:00+00:00,7.25E+06,1.68E+06
DPI,2020-10-09T00:00:00+00:00,1.73E+07,3.83E+06
DPI,2020-10-10T00:00:00+00:00,4.30E+06,4.33E+06
DPI,2020-10-11T00:00:00+00:00,2.70E+06,4.66E+06
DPI,2020-10-12T00:00:00+00:00,1.41E+06,4.82E+06
DPI,2020-10-13T00:00:00+00:00,940811.5268,4.92E+06
DPI,2020-10-14T00:00:00+00:00,1.08E+06,4.96E+06
DPI,2020-10-15T00:00:00+00:00,1.30E+06,4.54E+06
DPI,2020-10-16T00:00:00+00:00,888494.7863,3.74E+06
DPI,2020-10-17T00:00:00+00:00,601377.7207,1.65E+06
DPI,2020-10-18T00:00:00+00:00,451942.9987,1.17E+06
DPI,2020-10-19T00:00:00+00:00,691538.554,920601.4234
DPI,2020-10-20T00:00:00+00:00,1.32E+06,909442.6002
DPI,2020-10-21T00:00:00+00:00,1.49E+06,978156.9787
DPI,2020-10-22T00:00:00+00:00,1.10E+06,980130.8532
DPI,2020-10-23T00:00:00+00:00,885751.322,927934.6961
DPI,2020-10-24T00:00:00+00:00,304025.1891,854875.9964
DPI,2020-10-25T00:00:00+00:00,2.00E+06,1.03E+06
DPI,2020-10-26T00:00:00+00:00,287273.398,1.01E+06
DPI,2020-10-27T00:00:00+00:00,736782.9073,1.01E+06
DPI,2020-10-28T00:00:00+00:00,1.47E+06,1.03E+06
DPI,2020-10-29T00:00:00+00:00,1.43E+06,1.03E+06
DPI,2020-10-30T00:00:00+00:00,1.76E+06,1.11E+06
DPI,2020-10-31T00:00:00+00:00,288783.1029,1.03E+06
DPI,2020-11-01T00:00:00+00:00,524648.6586,1.06E+06
DPI,2020-11-02T00:00:00+00:00,736556.8999,903660.3095
DPI,2020-11-03T00:00:00+00:00,897164.3076,979896.6732
DPI,2020-11-04T00:00:00+00:00,1.14E+06,1.03E+06
DPI,2020-11-05T00:00:00+00:00,1.10E+06,984405.4579
DPI,2020-11-06T00:00:00+00:00,1.62E+06,1.01E+06
DPI,2020-11-07T00:00:00+00:00,2.76E+06,1.13E+06
DPI,2020-11-08T00:00:00+00:00,1.45E+06,1.28E+06
DPI,2020-11-09T00:00:00+00:00,2.13E+06,1.48E+06
DPI,2020-11-10T00:00:00+00:00,2.86E+06,1.75E+06
DPI,2020-11-11T00:00:00+00:00,2.58E+06,1.96E+06
DPI,2020-11-12T00:00:00+00:00,3.95E+06,2.31E+06
DPI,2020-11-13T00:00:00+00:00,3.46E+06,2.60E+06
DPI,2020-11-14T00:00:00+00:00,2.72E+06,2.74E+06
DPI,2020-11-15T00:00:00+00:00,3.96E+06,2.89E+06
DPI,2020-11-16T00:00:00+00:00,2.93E+06,3.08E+06
DPI,2020-11-17T00:00:00+00:00,4.93E+06,3.43E+06
DPI,2020-11-18T00:00:00+00:00,4.35E+06,3.61E+06
DPI,2020-11-19T00:00:00+00:00,4.02E+06,3.79E+06
DPI,2020-11-20T00:00:00+00:00,3.11E+06,3.69E+06
DPI,2020-11-21T00:00:00+00:00,4.88E+06,3.86E+06
DPI,2020-11-22T00:00:00+00:00,4.71E+06,4.11E+06
DPI,2020-11-23T00:00:00+00:00,2.85E+06,3.97E+06
DPI,2020-11-24T00:00:00+00:00,2.96E+06,3.98E+06
DPI,2020-11-25T00:00:00+00:00,2.10E+06,3.62E+06
DPI,2020-11-26T00:00:00+00:00,2.48E+06,3.39E+06
DPI,2020-11-27T00:00:00+00:00,1.93E+06,3.13E+06
DPI,2020-11-28T00:00:00+00:00,989138.9959,2.86E+06
DPI,2020-11-29T00:00:00+00:00,1.51E+06,2.44E+06
DPI,2020-11-30T00:00:00+00:00,2.47E+06,2.16E+06
DPI,2020-12-01T00:00:00+00:00,7.71E+06,2.77E+06
DPI,2020-12-02T00:00:00+00:00,3.04E+06,2.78E+06
DPI,2020-12-03T00:00:00+00:00,2.73E+06,2.86E+06
DPI,2020-12-04T00:00:00+00:00,1.34E+06,2.71E+06
DPI,2020-12-05T00:00:00+00:00,1.36E+06,2.64E+06
DPI,2020-12-06T00:00:00+00:00,1.99E+06,2.77E+06
DPI,2020-12-07T00:00:00+00:00,2.15E+06,2.85E+06
DPI,2020-12-08T00:00:00+00:00,7.71E+06,3.50E+06
DPI,2020-12-09T00:00:00+00:00,1.51E+06,2.73E+06
DPI,2020-12-10T00:00:00+00:00,1.52E+06,2.54E+06
DPI,2020-12-11T00:00:00+00:00,703976.1585,2.28E+06
DPI,2020-12-12T00:00:00+00:00,796663.9238,2.22E+06
DPI,2020-12-13T00:00:00+00:00,672024.0071,2.13E+06
DPI,2020-12-14T00:00:00+00:00,1.05E+06,2.01E+06
DPI,2020-12-15T00:00:00+00:00,572764.0092,1.82E+06
DPI,2020-12-16T00:00:00+00:00,1.67E+06,1.06E+06
DPI,2020-12-17T00:00:00+00:00,832222.6849,977554.425
DPI,2020-12-18T00:00:00+00:00,1.88E+06,1.02E+06
DPI,2020-12-19T00:00:00+00:00,1.62E+06,1.14E+06
DPI,2020-12-20T00:00:00+00:00,590576.3552,1.11E+06
DPI,2020-12-21T00:00:00+00:00,877396.3742,1.14E+06
DPI,2020-12-22T00:00:00+00:00,1.01E+06,1.13E+06
DPI,2020-12-23T00:00:00+00:00,1.23E+06,1.21E+06
DPI,2020-12-24T00:00:00+00:00,1.21E+06,1.16E+06
DPI,2020-12-25T00:00:00+00:00,947410.0273,1.17E+06
DPI,2020-12-26T00:00:00+00:00,793102.8641,1.04E+06
DPI,2020-12-27T00:00:00+00:00,836498.241,937058.5867
DPI,2020-12-28T00:00:00+00:00,1.20E+06,1.01E+06
DPI,2020-12-29T00:00:00+00:00,642150.6957,984225.4458
DPI,2020-12-30T00:00:00+00:00,898157.906,970084.3892
DPI,2020-12-31T00:00:00+00:00,900538.1085,928697.8537
DPI,2021-01-01T00:00:00+00:00,986064.4611,900884.9013
DPI,2021-01-02T00:00:00+00:00,1.23E+06,936143.0449
DPI,2021-01-03T00:00:00+00:00,1.70E+06,1.05E+06
DPI,2021-01-04T00:00:00+00:00,3.03E+06,1.32E+06
DPI,2021-01-05T00:00:00+00:00,5.10E+06,1.81E+06
DPI,2021-01-06T00:00:00+00:00,4.23E+06,2.26E+06
DPI,2021-01-07T00:00:00+00:00,3.82E+06,2.62E+06
DPI,2021-01-08T00:00:00+00:00,3.12E+06,2.90E+06
DPI,2021-01-09T00:00:00+00:00,3.03E+06,3.16E+06
DPI,2021-01-10T00:00:00+00:00,5.59E+06,3.70E+06
DPI,2021-01-11T00:00:00+00:00,6.07E+06,4.25E+06
DPI,2021-01-12T00:00:00+00:00,4.44E+06,4.42E+06
DPI,2021-01-13T00:00:00+00:00,4.07E+06,4.30E+06
DPI,2021-01-14T00:00:00+00:00,4.08E+06,4.28E+06
DPI,2021-01-15T00:00:00+00:00,3.55E+06,4.24E+06
DPI,2021-01-16T00:00:00+00:00,7.47E+06,4.79E+06
DPI,2021-01-17T00:00:00+00:00,6.56E+06,5.23E+06
DPI,2021-01-18T00:00:00+00:00,5.04E+06,5.16E+06
DPI,2021-01-19T00:00:00+00:00,7.73E+06,5.37E+06
DPI,2021-01-20T00:00:00+00:00,3.73E+06,5.28E+06
DPI,2021-01-21T00:00:00+00:00,4.73E+06,5.36E+06
DPI,2021-01-22T00:00:00+00:00,5.12E+06,5.49E+06
DPI,2021-01-23T00:00:00+00:00,4.55E+06,5.62E+06
DPI,2021-01-24T00:00:00+00:00,6.96E+06,5.55E+06
DPI,2021-01-25T00:00:00+00:00,8.08E+06,5.74E+06
DPI,2021-01-26T00:00:00+00:00,7.80E+06,6.09E+06
DPI,2021-01-27T00:00:00+00:00,7.27E+06,6.03E+06
DPI,2021-01-28T00:00:00+00:00,8.06E+06,6.57E+06
DPI,2021-01-29T00:00:00+00:00,7.73E+06,6.95E+06
DPI,2021-01-30T00:00:00+00:00,5.03E+06,6.93E+06
DPI,2021-01-31T00:00:00+00:00,8.16E+06,7.39E+06
DPI,2021-02-01T00:00:00+00:00,6.50E+06,7.33E+06
DPI,2021-02-02T00:00:00+00:00,8.12E+06,7.34E+06
DPI,2021-02-03T00:00:00+00:00,6.10E+06,7.12E+06
DPI,2021-02-04T00:00:00+00:00,1.05E+07,7.53E+06
DPI,2021-02-05T00:00:00+00:00,1.34E+07,8.20E+06
DPI,2021-02-06T00:00:00+00:00,1.19E+07,8.72E+06
DPI,2021-02-07T00:00:00+00:00,6.81E+06,8.95E+06
DPI,2021-02-08T00:00:00+00:00,1.25E+07,9.48E+06
DPI,2021-02-09T00:00:00+00:00,8.33E+06,9.71E+06
DPI,2021-02-10T00:00:00+00:00,1.01E+07,9.95E+06
DPI,2021-02-11T00:00:00+00:00,6.31E+06,9.98E+06
DPI,2021-02-12T00:00:00+00:00,7.97E+06,9.66E+06
DPI,2021-02-13T00:00:00+00:00,6.17E+06,8.76E+06
DPI,2021-02-14T00:00:00+00:00,7.66E+06,8.22E+06
DPI,2021-02-15T00:00:00+00:00,8.39E+06,8.42E+06
DPI,2021-02-16T00:00:00+00:00,6.44E+06,7.66E+06
DPI,2021-02-17T00:00:00+00:00,1.01E+07,7.89E+06
DPI,2021-02-18T00:00:00+00:00,7.92E+06,7.62E+06
DPI,2021-02-19T00:00:00+00:00,7.11E+06,7.72E+06
DPI,2021-02-20T00:00:00+00:00,1.36E+07,8.42E+06
DPI,2021-02-21T00:00:00+00:00,7.30E+06,8.56E+06
DPI,2021-02-22T00:00:00+00:00,6.30E+06,8.39E+06
DPI,2021-02-23T00:00:00+00:00,8.81E+06,8.45E+06
DPI,2021-02-24T00:00:00+00:00,5.17E+06,8.29E+06
DPI,2021-02-25T00:00:00+00:00,7.54E+06,7.97E+06
DPI,2021-02-26T00:00:00+00:00,4.82E+06,7.58E+06
DPI,2021-02-27T00:00:00+00:00,2.62E+06,7.02E+06
DPI,2021-02-28T00:00:00+00:00,4.81E+06,5.92E+06
DPI,2021-03-01T00:00:00+00:00,6.03E+06,5.76E+06
DPI,2021-03-02T00:00:00+00:00,7.19E+06,5.87E+06
DPI,2021-03-03T00:00:00+00:00,4.27E+06,5.31E+06
DPI,2021-03-04T00:00:00+00:00,4.57E+06,5.23E+06
DPI,2021-03-05T00:00:00+00:00,3.05E+06,4.67E+06
DPI,2021-03-06T00:00:00+00:00,2.45E+06,4.37E+06
DPI,2021-03-07T00:00:00+00:00,6.09E+06,4.81E+06
DPI,2021-03-08T00:00:00+00:00,4.59E+06,4.78E+06
DPI,2021-03-09T00:00:00+00:00,3.66E+06,4.48E+06
DPI,2021-03-10T00:00:00+00:00,4.82E+06,4.19E+06
DPI,2021-03-11T00:00:00+00:00,5.56E+06,4.35E+06
DPI,2021-03-12T00:00:00+00:00,3.75E+06,4.25E+06
DPI,2021-03-13T00:00:00+00:00,4.43E+06,4.42E+06
DPI,2021-03-14T00:00:00+00:00,2.78E+06,4.46E+06
DPI,2021-03-15T00:00:00+00:00,3.10E+06,4.09E+06
DPI,2021-03-16T00:00:00+00:00,1.40E+06,3.69E+06
DPI,2021-03-17T00:00:00+00:00,4.63E+06,3.81E+06
DPI,2021-03-18T00:00:00+00:00,4.62E+06,3.78E+06
DPI,2021-03-19T00:00:00+00:00,2.75E+06,3.43E+06
DPI,2021-03-20T00:00:00+00:00,6.28E+06,3.75E+06
DPI,2021-03-21T00:00:00+00:00,2.37E+06,3.49E+06
DPI,2021-03-22T00:00:00+00:00,2.23E+06,3.42E+06
DPI,2021-03-23T00:00:00+00:00,6.66E+06,3.87E+06
DPI,2021-03-24T00:00:00+00:00,3.96E+06,4.19E+06
DPI,2021-03-25T00:00:00+00:00,3.89E+06,4.09E+06
DPI,2021-03-26T00:00:00+00:00,2.48E+06,3.83E+06
DPI,2021-03-27T00:00:00+00:00,1.18E+06,3.63E+06
DPI,2021-03-28T00:00:00+00:00,3.43E+06,3.27E+06
DPI,2021-03-29T00:00:00+00:00,1.34E+07,4.65E+06
DPI,2021-03-30T00:00:00+00:00,5.52E+06,5.06E+06
DPI,2021-03-31T00:00:00+00:00,7.21E+06,5.13E+06
DPI,2021-04-01T00:00:00+00:00,3.24E+06,5.04E+06
DPI,2021-04-02T00:00:00+00:00,3.50E+06,4.99E+06
DPI,2021-04-03T00:00:00+00:00,1.90E+07,7.05E+06
DPI,2021-04-04T00:00:00+00:00,7.48E+06,7.84E+06
DPI,2021-04-05T00:00:00+00:00,1.24E+07,8.97E+06
DPI,2021-04-06T00:00:00+00:00,6.65E+06,8.13E+06
DPI,2021-04-07T00:00:00+00:00,1.32E+07,9.09E+06
DPI,2021-04-08T00:00:00+00:00,9.91E+06,9.43E+06
DPI,2021-04-09T00:00:00+00:00,1.56E+07,1.10E+07
DPI,2021-04-10T00:00:00+00:00,1.79E+07,1.28E+07
DPI,2021-04-11T00:00:00+00:00,6.34E+06,1.12E+07
DPI,2021-04-12T00:00:00+00:00,1.02E+07,1.15E+07
DPI,2021-04-13T00:00:00+00:00,1.10E+07,1.14E+07
DPI,2021-04-14T00:00:00+00:00,6.26E+06,1.13E+07
DPI,2021-04-15T00:00:00+00:00,1.33E+07,1.13E+07
DPI,2021-04-16T00:00:00+00:00,6.84E+06,1.09E+07
DPI,2021-04-17T00:00:00+00:00,5.43E+06,9.66E+06
DPI,2021-04-18T00:00:00+00:00,6.97E+06,8.29E+06
DPI,2021-04-19T00:00:00+00:00,4.11E+06,8.01E+06
DPI,2021-04-20T00:00:00+00:00,6.91E+06,7.59E+06
DPI,2021-04-21T00:00:00+00:00,6.32E+06,7.01E+06
DPI,2021-04-22T00:00:00+00:00,7.21E+06,7.13E+06
DPI,2021-04-23T00:00:00+00:00,9.57E+06,6.67E+06
DPI,2021-04-24T00:00:00+00:00,2.18E+06,6.09E+06
DPI,2021-04-25T00:00:00+00:00,2.90E+06,5.77E+06
DPI,2021-04-26T00:00:00+00:00,5.12E+06,5.54E+06
DPI,2021-04-27T00:00:00+00:00,6.79E+06,5.88E+06
DPI,2021-04-28T00:00:00+00:00,3.79E+06,5.49E+06
DPI,2021-04-29T00:00:00+00:00,6.11E+06,5.46E+06
DPI,2021-04-30T00:00:00+00:00,2.54E+06,4.87E+06
DPI,2021-05-01T00:00:00+00:00,6.35E+06,4.47E+06
DPI,2021-05-02T00:00:00+00:00,3.50E+06,4.64E+06
DPI,2021-05-03T00:00:00+00:00,8.81E+06,5.37E+06
DPI,2021-05-04T00:00:00+00:00,9.48E+06,5.92E+06
DPI,2021-05-05T00:00:00+00:00,3.38E+06,5.49E+06
DPI,2021-05-06T00:00:00+00:00,2.98E+06,5.39E+06
DPI,2021-05-07T00:00:00+00:00,4.91E+06,5.24E+06
DPI,2021-05-08T00:00:00+00:00,4.60E+06,5.50E+06
DPI,2021-05-09T00:00:00+00:00,4.86E+06,5.31E+06
DPI,2021-05-10T00:00:00+00:00,1.05E+07,6.19E+06
DPI,2021-05-11T00:00:00+00:00,5.23E+06,5.74E+06
DPI,2021-05-12T00:00:00+00:00,2.56E+07,7.75E+06
DPI,2021-05-13T00:00:00+00:00,1.50E+07,9.20E+06
DPI,2021-05-14T00:00:00+00:00,9.80E+06,1.01E+07
DPI,2021-05-15T00:00:00+00:00,8.71E+06,1.05E+07
DPI,2021-05-16T00:00:00+00:00,7.20E+06,1.09E+07
DPI,2021-05-17T00:00:00+00:00,1.47E+07,1.21E+07
DPI,2021-05-18T00:00:00+00:00,1.94E+07,1.32E+07
DPI,2021-05-19T00:00:00+00:00,2.10E+07,1.52E+07
DPI,2021-05-20T00:00:00+00:00,1.27E+07,1.36E+07
DPI,2021-05-21T00:00:00+00:00,1.24E+07,1.32E+07
DPI,2021-05-22T00:00:00+00:00,9.90E+06,1.32E+07
DPI,2021-05-23T00:00:00+00:00,1.73E+07,1.43E+07
DPI,2021-05-24T00:00:00+00:00,1.70E+07,1.55E+07
DPI,2021-05-25T00:00:00+00:00,1.37E+07,1.54E+07
DPI,2021-05-26T00:00:00+00:00,1.31E+07,1.46E+07
DPI,2021-05-27T00:00:00+00:00,1.24E+07,1.36E+07
DPI,2021-05-28T00:00:00+00:00,1.11E+07,1.34E+07
DPI,2021-05-29T00:00:00+00:00,2.41E+07,1.48E+07
DPI,2021-05-30T00:00:00+00:00,4.14E+06,1.41E+07
DPI,2021-05-31T00:00:00+00:00,1.90E+07,1.43E+07
DPI,2021-06-01T00:00:00+00:00,1.46E+07,1.40E+07
DPI,2021-06-02T00:00:00+00:00,1.31E+07,1.39E+07
DPI,2021-06-03T00:00:00+00:00,6.59E+06,1.31E+07
DPI,2021-06-04T00:00:00+00:00,3.34E+06,1.20E+07
DPI,2021-06-05T00:00:00+00:00,1.75E+06,1.08E+07
DPI,2021-06-06T00:00:00+00:00,1.70E+06,8.02E+06
DPI,2021-06-07T00:00:00+00:00,4.52E+06,8.07E+06
DPI,2021-06-08T00:00:00+00:00,5.24E+06,6.35E+06
DPI,2021-06-09T00:00:00+00:00,2.80E+06,4.88E+06
DPI,2021-06-10T00:00:00+00:00,4.97E+06,3.86E+06
DPI,2021-06-11T00:00:00+00:00,2.31E+06,3.33E+06
DPI,2021-06-12T00:00:00+00:00,2.80E+06,3.26E+06
DPI,2021-06-13T00:00:00+00:00,5.09E+06,3.68E+06
DPI,2021-06-14T00:00:00+00:00,1.41E+06,3.64E+06
DPI,2021-06-15T00:00:00+00:00,1.85E+06,3.31E+06
DPI,2021-06-16T00:00:00+00:00,3.05E+06,3.03E+06
